ProjectID,url,isScientificAppSoftware,mentionsPaperOrFunding,isResearchSoftware,isScienceSupportSoftware,keywords,short_description,full_answer,NumForks,NumStars,NumFiles,NumAuthors,NumCoreAuthors,AuthorsGender,NumCommits,NumBlobs,CodeLanguages,NumActiveMon,LatestCommitDate,EarliestCommitDate,CommunitySize,blobId,commitID
eclipse_sumo,https://github.com/eclipse/sumo,Yes,No,No,Yes," [""traffic simulation"", ""road networks"", ""transportation""]"," ""SUMO is an open source, highly portable, microscopic traffic simulation package designed to handle large road networks and different modes of transport."" ","Yes | No | No | Yes | ""SUMO is an open source, highly portable, microscopic traffic simulation package designed to handle large road networks and different modes of transport."" | [""traffic simulation"", ""road networks"", ""transportation""]",607.0,923.0,286353,258,8,"{'male': 141, 'female': 21}",129887,593051,"{'JavaScript': 136, 'C/C++': 9195, 'fml': 10, 'Perl': 108, 'Python': 11590, 'Java': 3360, 'PHP': 13, 'R': 10, 'other': 261931}",241,1664270719,1018250481,551.0,a3d94bceef9a8a0f741e881c251c5ec4f7b83171,d1ab4c065fbe2f82d042f1be76cc506985d5b0c1
kaldi-asr_kaldi,https://github.com/kaldi-asr/kaldi,Yes,No,Yes,No," [""speech processing"", ""speech recognition"", ""text-to-speech"", ""speech translation"", ""speaker diarization"", ""spoken language understanding""]"," ""ESPnet is an end-to-end speech processing toolkit covering end-to-end speech recognition, text-to-speech, speech translation, speech enhancement, speaker diarization, spoken language understanding, and so on."" ","Yes | No | Yes | No | ""ESPnet is an end-to-end speech processing toolkit covering end-to-end speech recognition, text-to-speech, speech translation, speech enhancement, speaker diarization, spoken language understanding, and so on."" | [""speech processing"", ""speech recognition"", ""text-to-speech"", ""speech translation"", ""speaker diarization"", ""spoken language understanding""]",6265.0,18744.0,336421,1990,223,"{'male': 963, 'female': 220}",129289,368948,"{'other': 273727, 'Perl': 15847, 'JavaScript': 6523, 'Python': 30428, 'C/C++': 9754, 'Java': 37, 'Lua': 4, 'Rust': 46, 'Ruby': 9, 'R': 1, 'Erlang': 2, 'PHP': 9, 'Go': 34}",145,1684223365,1305409688,6492.0,7e8784c247764522aecf9bd7b4cc1ff5ee1ad6ca,c32c53b495e10201952ea46eb38a962c11467bbc
lscsoft_lalsuite-archive,https://github.com/lscsoft/lalsuite-archive,Yes,Yes,No,No," [""gravitational wave data"", ""data analysis"", ""high-performance computing"", ""Python interface"", ""Octave interface""]"," ""LALSuite is a software application for manipulating and analyzing gravitational wave data. It is designed for high-performance computing and supports Python and Octave interfaces."" ","Yes | Yes | No | No | ""LALSuite is a software application for manipulating and analyzing gravitational wave data. It is designed for high-performance computing and supports Python and Octave interfaces."" | [""gravitational wave data"", ""data analysis"", ""high-performance computing"", ""Python interface"", ""Octave interface""]",77.0,43.0,17004,517,65,"{'male': 298, 'female': 67}",122706,139149,"{'PHP': 99, 'JavaScript': 27, 'C/C++': 6238, 'Perl': 81, 'Rust': 15, 'Python': 1546, 'R': 26, 'Fortran': 16, 'other': 8818, 'Sql': 138}",280,1683818999,950666283,87.0,09ff7a764b9a4ecf8d6722c589ac237f709151aa,5623b4e353c2c957f755f81f5d04ee72ad6adfe6
cp2k_cp2k,https://github.com/cp2k/cp2k,Yes,Yes,No,Yes," [""quantum chemistry"", ""solid state physics"", ""atomistic simulations"", ""DFT"", ""molecular dynamics""]"," ""CP2K is a quantum chemistry and solid state physics software package that can perform atomistic simulations of solid state, liquid, molecular, periodic, material, crystal, and biological systems."" ","Yes | Yes | No | Yes | ""CP2K is a quantum chemistry and solid state physics software package that can perform atomistic simulations of solid state, liquid, molecular, periodic, material, crystal, and biological systems."" | [""quantum chemistry"", ""solid state physics"", ""atomistic simulations"", ""DFT"", ""molecular dynamics""]",211.0,328.0,55463,246,34,"{'female': 14, 'male': 159}",119154,172473,"{'other': 45430, 'Fortran': 8271, 'JavaScript': 27, 'Java': 1, 'Rust': 14, 'Python': 396, 'Lisp': 2, 'Perl': 119, 'C/C++': 1201, 'PHP': 2}",251,1653057496,993571518,216.0,6dee4928751b8cd000ab43fa978b66909e22d466,8cce93a11e68a7c2b9da8f7a64d4e8647d7cf729
lightningnetwork_lnd,https://github.com/lightningnetwork/lnd,Yes,No,No,Yes,," ""The Lightning Network Daemon (`lnd`) - is a complete implementation of a Lightning Network node. `lnd` has several pluggable back-end chain services including `btcd` (a full-node), `bitcoind`, and `neutrino` (a new experimental light client). The project's codebase uses the btcsuite set of Bitcoin libraries, and also exports a large set of isolated re-usable Lightning Network related libraries within it. In the current state `lnd` is capable of: Creating channels, Closing channels, Completely managing all channel states (including the exceptional ones!), Maintaining a fully authenticated+validated channel graph, Performing path finding within the network, passively","Yes | No | No | Yes | ""The Lightning Network Daemon (`lnd`) - is a complete implementation of a Lightning Network node. `lnd` has several pluggable back-end chain services including `btcd` (a full-node), `bitcoind`, and `neutrino` (a new experimental light client). The project's codebase uses the btcsuite set of Bitcoin libraries, and also exports a large set of isolated re-usable Lightning Network related libraries within it. In the current state `lnd` is capable of: Creating channels, Closing channels, Completely managing all channel states (including the exceptional ones!), Maintaining a fully authenticated+validated channel graph, Performing path finding within the network, passively",5188.0,13176.0,35046,1413,106,"{'male': 846, 'female': 66}",116180,326238,"{'PHP': 93, 'other': 9673, 'Perl': 22, 'TypeScript': 20, 'Swift': 25, 'Go': 24114, 'Sql': 143, 'Java': 8, 'Python': 89, 'Scala': 1, 'C/C++': 91, 'JavaScript': 726, 'Ruby': 41}",122,1684265633,978308893,4817.0,20615d03a03f592c83b2ca7b6f853f87e68799e9,fad1ef538ff3031700e6ce97a03774b07c53e394
geonetwork_core-geonetwork,https://github.com/geonetwork/core-geonetwork,Yes,No,No,Yes," [""geospatial catalogues"", ""metadata management"", ""web map viewer"", ""data uploading"", ""data downloading""]"," ""GeoNetwork Open-source is a software application for managing geospatial catalogues. It provides search access to local and distributed catalogues, uploading and downloading of data, an interactive web map viewer, online editing of metadata, and support for various protocols."" ","Yes | No | No | Yes | ""GeoNetwork Open-source is a software application for managing geospatial catalogues. It provides search access to local and distributed catalogues, uploading and downloading of data, an interactive web map viewer, online editing of metadata, and support for various protocols."" | [""geospatial catalogues"", ""metadata management"", ""web map viewer"", ""data uploading"", ""data downloading""]",892.0,617.0,860813,459,46,"{'male': 277, 'female': 49}",106653,949840,"{'Scala': 1279, 'Sql': 1433, 'Go': 4, 'TypeScript': 2, 'JavaScript': 176891, 'Python': 230, 'Java': 13985, 'other': 666260, 'Rust': 674, 'Ruby': 6, 'C/C++': 4, 'PHP': 45}",200,1685145940,1161356956,1050.0,6e2d522512ed4081e881fd2ec3c3d7cdd44d61cd,317b1b353007154473a81b346c83cdea1c9a20d4
opencollab_scilab,https://github.com/opencollab/scilab,Yes,No,No,Yes," [""mathematical operations"", ""data analysis"", ""visualization"", ""optimization"", ""statistics"", ""control system design"", ""signal processing"", ""application development""]"," ""Scilab is a software application for mathematical operations, data analysis, visualization, optimization, statistics, control system design, signal processing, and application development."" ","Yes | No | No | Yes | ""Scilab is a software application for mathematical operations, data analysis, visualization, optimization, statistics, control system design, signal processing, and application development."" | [""mathematical operations"", ""data analysis"", ""visualization"", ""optimization"", ""statistics"", ""control system design"", ""signal processing"", ""application development""]",317.0,502.0,133604,512,35,"{'female': 32, 'male': 427}",106211,739536,"{'fml': 191, 'Rust': 1, 'C/C++': 15945, 'Erlang': 5, 'JavaScript': 75, 'PHP': 1, 'other': 107223, 'Java': 3453, 'Fortran': 5734, 'Python': 10, 'R': 12, 'Perl': 25, 'Ruby': 929}",261,1680791129,988271013,377.0,7dd8fcd5f5cec7cc0757baf7035e945ddd59af6f,9b89069baf7d759bd4f2d5b15bcbadcd83bcaa80
GeoNode_geonode,https://github.com/GeoNode/geonode,Yes,No,No,Yes," [""geospatial content management"", ""data management"", ""interactive maps""]"," ""GeoNode is a geospatial content management system, a platform for the management and publication of geospatial data. It brings together mature and stable open-source software projects under a consistent and easy-to-use interface allowing non-specialized users to share data and create interactive maps."" ","Yes | No | No | Yes| ""GeoNode is a geospatial content management system, a platform for the management and publication of geospatial data. It brings together mature and stable open-source software projects under a consistent and easy-to-use interface allowing non-specialized users to share data and create interactive maps."" | [""geospatial content management"", ""data management"", ""interactive maps""]",1087.0,1175.0,97141,631,74,"{'female': 50, 'male': 380}",97699,159646,"{'Sql': 62, 'TypeScript': 116, 'other': 63755, 'Ruby': 1, 'PHP': 66, 'JavaScript': 21731, 'Python': 10053, 'Lisp': 3, 'Rust': 740, 'C/C++': 91, 'Scala': 1, 'Java': 522}",163,1678066841,1254258458,1143.0,4329520428a3e861137d6bc74632d46cc598f17a,f48972907097574fc36006f22b15d64417d92d77
ccxt_ccxt,https://github.com/ccxt/ccxt,Yes,No,No,Yes," [""cryptocurrency trading"", ""e-commerce"", ""market data analysis"", ""algorithmic trading""]"," ""CCXT is a software library for cryptocurrency trading and e-commerce, providing quick access to market data for storage, analysis, visualization, algorithmic trading, and more."" ","Yes | No | No | Yes | ""CCXT is a software library for cryptocurrency trading and e-commerce, providing quick access to market data for storage, analysis, visualization, algorithmic trading, and more."" | [""cryptocurrency trading"", ""e-commerce"", ""market data analysis"", ""algorithmic trading""]",4583.0,17274.0,9836,1150,16,"{'female': 58, 'male': 680}",85211,341846,"{'JavaScript': 2916, 'C/C++': 8, 'other': 738, 'TypeScript': 74, 'Rust': 32, 'PHP': 1706, 'Python': 3974, 'Ruby': 167, 'Go': 104, 'Java': 117}",70,1677335432,1494776517,4076.0,9fb218a4042bf894bd8f41c346e0c7e64774827d,7f8ce339ad3c56d692b4fdc7d728908a2d62bb70
AMReX-Codes_amrex,https://github.com/AMReX-Codes/amrex,Yes,Yes,No,Yes," [""micromagnetics"", ""electrodynamic waves"", ""microelectronics""]", “ARTEMIS is a development fork of WarpX for modeling micromagnetics and electrodynamic waves in next-generation microelectronics.” ,"Yes | Yes | No | Yes | “ARTEMIS is a development fork of WarpX for modeling micromagnetics and electrodynamic waves in next-generation microelectronics.” | [""micromagnetics"", ""electrodynamic waves"", ""microelectronics""]",285.0,375.0,36806,418,37,"{'female': 35, 'male': 250}",77800,199065,"{'Perl': 12, 'JavaScript': 2140, 'C/C++': 5586, 'other': 25248, 'Python': 746, 'Rust': 315, 'fml': 4, 'Fortran': 2755}",329,1683683332,731965075,284.0,118c4627ea67bd74ad46cfc63c4f0ffb2ee1d81b,af1d82ae8b32f71c276b383d1dc90841883088ef
